1934
0;192066986
1;191607407
2;191148835
3;190691265
4;190234695
5;189779131
6;189324568
7;188871008
8;188418450
9;187966894
10;187516339
11;187066785
12;186618233
13;186170683
14;185724133
15;185278586
16;184834041
17;184390498
18;183947958
19;183506420
20;183065883
21;182626352
22;182187822
23;181750295
24;181313770
25;180878247
26;180443726
27;180010207
28;179577692
29;179146179
30;178715668
31;178286160
32;177857655
33;177430160
34;177003671
35;176578182
36;176153697
37;175730216
38;175307736
39;174886260
40;174465785
41;174046312
42;173627843
43;173210376
44;172793910
45;172378445
46;171963983
47;171550522
48;171138062
49;170726604
50;170316149
51;169906695
52;169498241
53;169090788
54;168684336
55;168278885
56;167874435
57;167470986
58;167068541
59;166667096
60;166266654
61;165867214
62;165468776
63;165071339
64;164674902
65;164279465
66;163885033
67;163491603
68;163099179
69;162707755
70;162317333
71;161927915
72;161539499
73;161152085
74;160765674
75;160380266
76;159995859
77;159612453
78;159230047
79;158848642
80;158468241
81;158088844
82;157710450
83;157333057
84;156956664
85;156581274
86;156206887
87;155833504
88;155461122
89;155089741
90;154719361
91;154349981
92;153981602
93;153614224
94;153247846
95;152882470
96;152518095
97;152154722
98;151792351
99;151430983
100;151070620
101;150711258
102;150352900
103;149995543
104;149639188
105;149283835
106;148929489
107;148576144
108;148223802
109;147872462
110;147522123
111;147172788
112;146824456
113;146477127
114;146130799
115;145785475
116;145441153
117;145097834
118;144755516
119;144414199
120;144073882
121;143734568
122;143396254
123;143058940
124;142722628
125;142387319
126;142053011
127;141719704
128;141387398
129;141056095
130;140725794
131;140396493
132;140068195
133;139740900
134;139414605
135;139089311
136;138765020
137;138441729
138;138119438
139;137798148
140;137477860
141;137158573
142;136840288
143;136523007
144;136206728
145;135891450
146;135577173
147;135263897
148;134951621
149;134640346
150;134330072
151;134020798
152;133712525
153;133405254
154;133098984
155;132793715
156;132489450
157;132186186
158;131883925
159;131582665
160;131282405
161;130983145
162;130684885
163;130387625
164;130091365
165;129796106
166;129501847
167;129208588
168;128916329
169;128625070
170;128334811
171;128045555
172;127757299
173;127470044
174;127183790
175;126898536
176;126614283
177;126331031
178;126048779
179;125767527
180;125487276
181;125208026
182;124929778
183;124652530
184;124376282
185;124101036
186;123826793
187;123553551
188;123281312
189;123010073
190;122739834
191;122470595
192;122202357
193;121935120
194;121668884
195;121403648
196;121139414
197;120876182
198;120613951
199;120352721
200;120092493
201;119833267
202;119575042
203;119317819
204;119061596
205;118806373
206;118552151
207;118298930
208;118046711
209;117795492
210;117545275
211;117296058
212;117047841
213;116800625
214;116554412
215;116309200
216;116064991
217;115821783
218;115579575
219;115338367
220;115098161
221;114858956
222;114620752
223;114383550
224;114147349
225;113912149
226;113677951
227;113444755
228;113212559
229;112981363
230;112751167
231;112521971
232;112293777
233;112066583
234;111840389
235;111615196
236;111391004
237;111167812
238;110945622
239;110724432
240;110504244
241;110285058
242;110066874
243;109849693
244;109633512
245;109418332
246;109204153
247;108990975
248;108778797
249;108567624
250;108357454
251;108148284
252;107940115
253;107732947
254;107526779
255;107321614
256;107117450
257;106914287
258;106712124
259;106510961
260;106310798
261;106111635
262;105913477
263;105716321
264;105520167
265;105325014
266;105130862
267;104937712
268;104745564
269;104554419
270;104364275
271;104175132
272;103986990
273;103799849
274;103613708
275;103428569
276;103244434
277;103061302
278;102879170
279;102698038
280;102517907
281;102338777
282;102160648
283;101983519
284;101807391
285;101632265
286;101458142
287;101285022
288;101112903
289;100941784
290;100771665
291;100602546
292;100434428
293;100267310
294;100101193
295;99936076
296;99771959
297;99608843
298;99446727
299;99285611
300;99125496
301;98966383
302;98808270
303;98651157
304;98495044
305;98339933
306;98185822
307;98032712
308;97880604
309;97729497
310;97579393
311;97430290
312;97282188
313;97135088
314;96988988
315;96843890
316;96699792
317;96556697
318;96414604
319;96273512
320;96133420
321;95994329
322;95856238
323;95719147
324;95583056
325;95447966
326;95313876
327;95180786
328;95048696
329;94917606
330;94787516
331;94658428
332;94530341
333;94403257
334;94277174
335;94152091
